HTTPURL and @User,Class Weights,Dataset Type,Lemmatization,Model Type,1,2,5,10,20,30,40,50,Learning Rate
2,2,2,1,BERT,1430|0|23353|0,1421|429|22924|9,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
2,2,2,2,BERT,1430|0|23353|0,1411|950|22403|19,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
1,1,1,1,DISTILBERT,168|5249|60|198,182|5251|58|184,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
1,1,1,2,DISTILBERT,185|5219|90|181,171|5255|54|195,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
1,1,2,1,DISTILBERT,1067|8603|14750|363,1154|7612|15741|276,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
1,1,2,2,DISTILBERT,1008|11067|12286|422,1062|9556|13797|368,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
1,2,1,1,DISTILBERT,298|4587|722|68,295|4708|601|71,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
1,2,1,2,DISTILBERT,311|4471|838|55,304|4670|639|62,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
1,2,2,1,DISTILBERT,1430|0|23353|0,1427|122|23231|3,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
1,2,2,2,DISTILBERT,1430|0|23353|0,1430|2|23351|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
2,1,1,1,DISTILBERT,177|5236|73|189,192|5240|69|174,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
